id,辞書ページ,見出し語,かな1,かな2,かな3,アクセント型,品詞,文語などの種別,補足,意味 1.,意味 2.,意味 3.,意味 4.,意味 5.,備考
1,99,?aa,あー,,,①,感,,,ああ。物事に深く感じた時発する声。,,,,,
2,99,?aa,あー,,,⓪,名,,,泡。?aabukuともいう。～nutacuN.泡が立つ。,,,,,
3,99,?aa,あー,,,⓪,名,,,安和。（（地））参照。,,,,,
4,99,?aa?aa,あーあー,,,①,感･副,,,ああああ。ため息をつくさま。～sjuN.ああああと嘆息する。,,,,,
5,99,?aabaasaabaa,あーばーさーばー,,,⓪,副,,,ぺちゃくちゃ。とりとめもなくしゃべるさま。～munu 'junuN.ぺちゃくちゃしゃべる。,,,,,
6,99,?aabuku,あーぶく,,,⓪,名,,,泡。あぶく。,,,,,
7,99,?aaci,あーち,,,⓪,助詞的に用いられる,,,同時に。＜?aasjuN（合わせる）。?ieuSitu～.行くのと同時に。?juSitu～.言うのと同時に。,,,,,
8,99,?aacirahja]acira,あーちらひゃあちら,,,⓪,副,,,ぺちゃくちゃ。べらべら。とりとめもなくしゃべるさま。～munu'junuN.ぺちゃくちゃしゃべる。,,,,,
9,99,?aaguuru,あーぐーる,,,⓪,名,,,"かくれんぼ（kwaQkwi-Ndooree）で,隠れた者を捜し出せずに鬼が降参すること。また,その降参する時に言うことば。鬼が?aaguuruと叫ぶと,隠れた子供たちが現われ,鬼にお辞儀をさせてから,やり直す。",,,,,
10,99,?aahjaNgaree,あーひゃんがれー,,,⓪,感,,,短気を起こした時などに発する声。ちくしょう。,,,,,
11,99,?aa=juN,あーゆん,あーいん,,⓪,"自 =raN,=ti",,,"合う。計算が合う･時計が合うなどの意では,新しくは?atajuNを多く用いるようになった。?unu hujaa ?jaahwisjatu ?aajumi.その靴はおまえの足に合うか。saNminoo?aatoomi.計算は合っているか。",,,,,
12,99,?aaka=sjuN,あーかすん,,あーかしゅん,⓪,"他 =saN,=ci",,,"割る。裂く。離す。また,割れ目を入れる。",,,,,
13,99,?aakeeZuu,あーけーじゅー,,あーけーずー,⓪,名,,,とんぼ。,,,,,
14,99,?aaki,あーき,,,⓪,名,,,裂け目。割れ目。ひび。すき間。hasirunu ～kara suumi sjuN.雨戸のすき間からのぞき見する。hwiiraajahaajanu ～nakaiN'uN.ごきぶりは柱の割れ目にもいる。,,,,,
15,99,?aakii,あーきー,,,⓪,名,,,"組踊り用語。愁嘆場。親子兄弟の別離･再会などで,感情が高まる場面。?aki ?icaga najura.（ああ,どうなることか）,?aki ?imiga 'jajura.（ああ夢ではないか）などの?akiを,地謡が長く引き延ばして歌うのでこういう。",,,,,
16,99,?aaki=juN,あーきゆん,あーきいん,,⓪,"自=raN,=ti",,,"1.割れる。裂けて離れる。また,ひびが入る。裂け目ができる。?icanu kariti～.板が枯れて割れる。muraziNmi sjasiga,?ikuCinuNkai ?aakitaN.村の協議をしたが,意見がいくつにも割れた。",2.言行が食い違う。つじつまが合わない。矛盾する。taiga ?juru kutubanu ?aakitooN.ふたりの言うことばは矛盾している。?ariga ?juru kutoo ?atutu sacitu caa ～.彼の言うことは前とあとといつも食い違う。,,,,
17,99,?aamui,あーむい,,,⓪,名,,,泡盛。普通は単にsakiという。,,,,,
18,99,?aaQca,あーっちゃ,,,⓪,名,,,?aQca（歩くことの小児語）と同じ。,,,,,
19,99,?aaraNcee,あーらんちぇー,,,⓪,名,,,麻布の一種。さらしてない無地の麻布。biNgata[紅型]や?eegata[藍型]などに加工する前の布。,,,,,
20,99,?aaraNkaa,あーらんかー,,,⓪,名,,,"飾り気のない人。ありのままで遠慮のない人。?aree ～ 'jakutu,maQtoobaNdi ?icee maQtooba'jaN.彼はありのままの人だから,正直といえば正直だ。",,,,,
21,99,?aasa,あーさ,,,⓪,名,,,1.海草の名。青のりの一種。あおさ。わかめのようにして汁の実などにする。moo?aasaと区別して?umi?aasaともいう。,2.moo?aasa（きのこの一種）と同じ。,,,,
22,100,?aasa?irici,あーさいりち,,,⓪,名,,,料理名。moo?aasaの油いため。,,,,,
23,100,?aasi,あーし,,,⓪,名,,,泡瀬。中頭郡東海岸にある港。,,,,,
24,100,?aasikagaN,あーしかがん,,,⓪,名,,,"合わせ鏡。後ろ姿を見るために,前後から鏡を合わせて見ること。～sjuN.",,,,,
25,100,?aasimuN,あーしむん,,,⓪,名,,,袷。裏付きの着物。,,,,,
26,100,?aasiziN,あーしじん,,,⓪,名,,,?aasimuNと同じ。?aasimuNを多く用いる。,,,,,
27,100,?aa=sjuN,あーすん,,あーしゅん,⓪,"他 =saN,=ci",,,1.合わせる。適合させる。規準などに合わせる。,2.調合する。kusui～.薬を調合する。,3.牛などを戦わせる。?usi ～.牛を戦わせる。,,,
28,100,?aa=sjuN,あーすん,,あーしゅん,①,"他 =saN,=ci",,,"粉に水などを加え,練りかえす。こね合わせる。nui ～.のりをこね合わせる。",,,,,
29,100,?aata]bai,あーたばい,,,⓪,名,,,"またぐらの痛い時など,またを横に広げるようにして歩くこと。その滑稽な歩き方を嘲笑して言う語。?aata-は?ataku,?atabici（ともに蛙の種類の名）の?ata-と関係ある形か。?aatabaiは蛙のよちよち歩く歩き方と似ている。～sjuN.足を広げてよちよち歩く。",,,,,
30,100,?aata、najuN,あーた、なゆん,,,⓪、⓪,句,,,疲れてくたくたになる。疲れてぐにゃぐにゃになる。のびる。,,,,,1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
31,100,?aatootu,あーとーとぅ,,,①,感,,,神仏を拝む時に発する声。あなとうと。女は?uutootuとも言う。,,,,,
32,100,?abaa,あばー,,,⓪,名,,,"姉。ねえさん。農村で用いる語。首里では,士族については?Nmii,平民については?aNgwaaという。",,,,,
33,100,?abacino]ori,あばちのおり,,,⓪,副,,,もて余すさま。身動きのとれないようなさま。～sjuN.,,,,,
34,100,?abacisigutu,あばちしぐとぅ,,,⓪,名,,,手に余る仕事。もて余す仕事。,,,,,
35,100,?aba=cuN,あばちゅん,,,⓪,"自 =kaN,=ci",,,"たくさんの着物･大きすぎる着物などを着てもて余す。また,仕事などをもて余す。sigutu ?uhooku ?iiCikiraQti ?abacoosa.仕事をたくさん言い付けられてもて余しているよ。",,,,,
36,100,?abaraa,あばらー,,,①,名,,,大食い。大食漢,,,,,
37,100,?abaraja,あばらや,,,①,名,文,,あばらや。,,,,,
38,100,?abasi,あばし,,,⓪,名,,,おてんば。おしゃべりな女。,,,,,
39,100,?abasi,あばし,,,⓪,名,,,"魚の名。おこぜの類。暖海に産し,刺がたくさんある。",,,,,
40,100,?abasjaa,あばさー,,あばしゃー,⓪,名,,,?abasi（おてんば）と同じ。,,,,,
41,100,?abiigwii,あびーぐぃー,,,⓪,名,,,叫び声。kaamakara～nu cikariiN.遠くから叫び声が聞こえる。,,,,,
42,100,?abiihoo=ju]N,あびーほーゆん,,,⓪,"自 =raN,=ti",,,わめき散らす。どなり散らす。,,,,,
43,100,?abii?uduruka=sju]N,あびーうどぅるかすん,,あびーうどぅるかしゅん,⓪,"他 =saN,=ci",,,大声でどなって驚かす。,,,,,
44,100,?abijaa,あびやー,,,⓪,名,,,1.叫ぶ者。わめく者。泣きわめく者。鳴くもの。,2.鳴くせみ。鳴かないせみはCiigaaという。,,,,
45,100,?abijaatii]jaa,あびやーてぃーやー,,,⓪,副,,,"わめき散らすさま。また,大勢がわいわい騒ぐさま。喧喧ごうごう。～sjuN.",,,,,
46,100,?abi=juN,あびゆん,あびいん,,⓪,"自 =raN,=ti",,,"1.叫ぶ。大声で呼ぶ。また,わめく。どなる。?abiti'NNdee.大声で呼んでみろ。",2.大声で泣く。泣き叫ぶ。,3.ほえる。犬･猫･豚などが鳴く。,,,
47,100,-abi=juN,-あびゆん,-あびいん,,,"接尾=raN,=ti,一部不規則",,,"ます。…します。話し相手に対する丁寧の敬語。-abiiNということが多い。'uN（いる）と複合した動詞（すなわち一般の動詞）に付く時には,その｢終止形｣からuNを除いた形につく。kacuN（書く）→kacabiiN（書きます）,tujuN（取る）→tujabiiN（取ります）など。'uN（いる）,?aN（ある,）'jaN（だ）などに付く時には末尾のNを除いた形に付き,'ujabiiN,'uibiiN（います）,?ajabiiN, ?aibiiN（あります）,'jajabiiN,'jaibiiN（です）のように,-jabiiNもしくは-ibiiNとなる。形容詞の場合も同じくtuusaN（遠い）→tuusajabiiN, tuusaibiiN（遠いです）のようになる。'junabira.読みましょう。'jumimiSeejabiimi.お読みになりますか。",,,,,
48,101,?abu,あぶ,,,⓪,名,,,安部。«地»参照。,,,,,
49,101,?abu=cuN,あぶちゅん,,,⓪,"自 =kaN,=ci",,,飯などが吹きこぼれる。沸騰して吹き出る。,,,,,
50,101,?abu=cuN,あぶちゅん,,,①,"自 =kaN,=ci",,,暑くて蒸し蒸しする。蒸すように暑い。,,,,,
51,101,?abui,あぶい,,,⓪,名,,,あぶみ。,,,,,
52,101,?abuikuu,あぶいくー,,,⓪,名,,,魚や餅などを焼く金網。,,,,,
53,101,?abu=juN,あぶゆん,あぶいん,,⓪,"他=raN,=ti",,,"あぶる。食物などを焼く。また,火にかざし暖める。muci～.餅を焼く。tiinusaci～.手の先をあぶる。",,,,,
54,101,?abunasjaN,あぶなさん,,あぶなしゃん,①,形,文･新,,危い。元来は?ukaasjaNという。?abunee tukuru.危い所。,,,,,
55,101,?abusi,あぶし,,,⓪,名,,,あぜ。田のあぜ。,,,,,
56,101,?abusibaree,あぶしばれー,,,⓪,名,,,"あぜ祓いの意。旧暦4月に行なう田の祭り。仕事を休み,ごちそうを作って一日を遊び暮らす。また,海人草（nacoora）を煎じて飲み,海人草の雑炊を食べる。海人草は回虫を除くにのに効くとされる。",,,,,
